zip_code,arrest_count
00083,729
10001,332
10002,2441
10003,2070
10004,81
10005,6
10006,30
10007,483
10009,233
10010,472
10011,1797
10012,2247
10013,2752
10014,1345
10016,146
10017,78
10018,4034
10019,526
10020,131
10021,168
10022,156
10023,437
10024,593
10025,1398
10026,3283
10027,1183
10028,359
10029,2797
10030,2605
10031,746
10032,2017
10033,2524
10034,787
10035,3223
10036,1973
10037,738
10038,446
10039,1433
10040,965
10041,58
10043,9
10044,577
10045,111
10047,2154
10048,103
10055,15
10065,1343
10069,90
10075,200
10080,50
10081,2
10096,598
10097,677
10103,113
10104,115
10105,58
10106,152
10107,2908
10110,73
10111,152
10112,470
10115,120
10118,393
10119,710
10120,1461
10121,370
10122,412
10123,642
10128,388
10151,137
10152,23
10153,45
10154,5
10155,232
10158,113
10162,20
10165,44
10167,64
10168,265
10169,12
10170,36
10171,3
10172,8
10173,4
10174,118
10175,23
10176,82
10177,38
10178,27
10196,406
10203,50
10259,91
10265,22
10270,23
10271,7
10275,45
10278,2803
10279,109
10280,10
10281,10
10282,82
10285,5
10286,17
10301,4916
10302,1763
10303,475
10304,793
10305,460
10306,1044
10307,486
10308,124
10309,305
10310,581
10312,195
10314,565
10451,3661
10452,4591
10453,1750
10454,3753
10455,5427
10456,4369
10457,7508
10458,4222
10459,2574
10460,1378
10461,2075
10462,1297
10463,1670
10464,39
10465,1568
10466,3045
10467,2521
10468,2698
10469,1415
10470,1032
10471,134
10472,3515
10473,769
10474,1001
10475,457
11001,42
11004,26
11005,27
11040,50
11096,1936
11101,635
11102,283
11103,2466
11104,454
11105,263
11106,464
11109,1227
11201,3351
11203,1974
11204,1450
11205,1209
11206,2969
11207,6817
11208,1786
11209,618
11210,2499
11211,1168
11212,3854
11213,3076
11214,2313
11215,383
11216,3419
11217,3262
11218,330
11219,1933
11220,2278
11221,2141
11222,935
11223,2705
11224,4418
11225,2575
11226,4378
11228,405
11229,824
11230,1935
11231,1507
11232,2064
11233,4509
11234,378
11235,301
11236,999
11237,3967
11238,513
11239,681
11251,357
11354,3112
11355,668
11356,241
11357,241
11358,218
11359,3
11360,73
11361,622
11362,45
11363,13
11364,88
11365,1207
11366,249
11367,275
11368,1219
11369,2671
11370,196
11371,210
11372,2746
11373,3533
11374,998
11375,1633
11377,369
11378,242
11379,132
11385,1500
11411,364
11412,584
11413,859
11414,181
11415,1416
11416,314
11417,1384
11418,1451
11419,812
11420,347
11421,425
11422,1678
11423,499
11426,110
11427,190
11428,1335
11429,256
11430,54
11432,3281
11433,1253
11434,2873
11435,2141
11436,1209
11451,1943
11691,467
11692,437
11693,850
11694,133
11697,6
