rank,zip_code,median_income_usd
1,10282,250001
2,10007,250001
3,10069,226151
4,10004,220592
5,10005,211810
6,10006,209972
7,10280,206250
8,11109,198773
9,10024,182614
10,11215,180773
11,10022,171038
12,11201,169285
13,10028,168125
14,10014,167254
15,10065,160938
16,10013,159474
17,11217,158314
18,10023,157866
19,10021,156712
20,10010,156127
21,10003,153750
22,10016,153065
23,10128,148705
24,10011,146571
25,10075,146556
26,10307,138807
27,11231,138485
28,11697,134844
29,10018,133042
30,11238,132957
31,10017,132518
32,10012,130938
33,11222,123963
34,10309,123638
35,10001,123393
36,10308,122654
37,10019,121835
38,11362,118989
39,11411,118393
40,11366,117402
41,11101,116807
42,10038,115121
43,11413,114766
44,10312,111434
45,11363,110833
46,10162,110349
47,11004,109865
48,10025,109195
49,10471,108738
50,11422,108519
51,11361,108391
52,11426,107591
53,10044,106146
54,10310,106118
55,11211,105183
56,10314,104655
