rank,school_name,borough,zip_code,type,school_level
1,Success Academy Hell’s Kitchen,manhattan,10019,Charter,elementary
2,NEST+m,manhattan,10002,Public,elementary
3,Success Academy Bensonhurst,brooklyn,11214,Charter,elementary
4,Icahn Charter School 6,bronx,10457,Charter,elementary
5,Success Academy Bushwick,brooklyn,11221,Charter,elementary
6,Success Academy Hudson Yards,manhattan,10001,Charter,elementary
7,Success Academy Upper West,manhattan,10024,Charter,elementary
8,Success Academy Union Square,manhattan,10003,Charter,elementary
9,Success Academy Cobble Hill,brooklyn,11201,Charter,elementary
10,Success Academy Williamsburg,brooklyn,11206,Charter,elementary
11,PS 77 Lower Lab,manhattan,10023,Public,elementary
12,PS 334 Anderson,manhattan,10023,Public,elementary
13,PS 234 Independence,manhattan,10282,Public,elementary
14,PS 6 Lillie Blake,manhattan,10028,Public,elementary
15,PS 87 William Sherman,manhattan,10024,Public,elementary
16,PS 321 William Penn,brooklyn,11215,Public,elementary
17,PS 199 Jessie Straus,manhattan,10025,Public,elementary
18,PS 290 Manhattan New School,manhattan,10025,Public,elementary
19,PS 41 Greenwich Village,manhattan,10014,Public,elementary
20,PS 29 Harrigan,brooklyn,11201,Public,elementary
21,PS 11 Purvis Behan,brooklyn,11201,Public,elementary
22,PS 58 Carroll,brooklyn,11231,Public,elementary
23,PS 8 Robert Fulton,brooklyn,11201,Public,elementary
24,PS 3 Bedford Village,brooklyn,11216,Public,elementary
25,PS 166 Gradstein,manhattan,10023,Public,elementary
26,PS 9 Bergen,brooklyn,11217,Public,elementary
27,PS 130 De Soto,manhattan,10011,Public,elementary
28,PS 452 Manhattan School Children,manhattan,10023,Public,elementary
29,PS 77Q,queens,11375,Public,elementary
30,PS 122 Mamie Fay,queens,11375,Public,elementary
31,PS 196 Grand Central Pkwy,queens,11365,Public,elementary
32,PS 203 Oakland Gardens,queens,11364,Public,elementary
33,PS 188 Kingsbury,queens,11361,Public,elementary
34,PS 221 North Hills,queens,11364,Public,elementary
35,PS 46 Alley Pond,queens,11365,Public,elementary
36,PS 159 Isaac Pitkin,queens,11414,Public,elementary
37,PS 184 Flushing Manor,queens,11358,Public,elementary
38,PS 108 Capt Fowler,queens,11357,Public,elementary
39,PS 186 Castlewood,queens,11357,Public,elementary
40,PS 209 Clearview Gardens,queens,11360,Public,elementary
1,Stuyvesant High School,manhattan,10282,Specialized,high
2,Bronx High School of Science,bronx,10468,Specialized,high
3,Staten Island Technical High School,statenisland,10306,Specialized,high
4,Brooklyn Technical High School,brooklyn,11217,Specialized,high
5,Queens High School for the Sciences at York College,queens,11451,Specialized,high
6,High School for Math Science and Engineering at CCNY,manhattan,10031,Specialized,high
7,Townsend Harris High School,queens,11367,Screened,high
8,Brooklyn Latin School,brooklyn,11201,Specialized,high
9,High School of American Studies at Lehman College,bronx,10468,Specialized,high
10,Bard High School Early College Manhattan,manhattan,10002,Screened,high
11,Bard High School Early College Queens,queens,11101,Screened,high
12,NYC Lab School for Collaborative Studies,manhattan,10011,Screened,high
13,Beacon High School,manhattan,10023,Screened,high
14,Millennium High School,manhattan,10281,Screened,high
15,Eleanor Roosevelt High School,manhattan,10028,Screened,high
